annomese;regione;energia_tot;potenza_imp;tariffa;residenza;somma_pod
202510;Abruzzo;649537,169;1100,0;MTA3;N;3
202510;Abruzzo;368753,652;1104,0;MTA3;N;1
202510;Abruzzo;340735,028;1172,0;MTA3;N;2
202510;Abruzzo;33165,713;1183,0;MTA3;N/A;1
202510;Abruzzo;1115208,436;1200,0;MTA3;N;4
202510;Abruzzo;19069,098;1263,0;MTA3;N/A;1
202510;Abruzzo;82116,414;1313,0;MTA3;N;2
202510;Abruzzo;295140,033;1600,0;MTA3;N;3
202510;Abruzzo;337907,949;2000,0;MTA3;N;2
202510;Abruzzo;23560,524;2052,0;MTA3;N;1
202510;Abruzzo;687852,322;2100,0;MTA3;N;2
202510;Abruzzo;291387,36;2240,0;MTA3;N/A;1
202510;Abruzzo;495272,329;2250,0;MTA3;N;2
202510;Abruzzo;7774,205;2408,0;MTA3;N;1
202510;Abruzzo;747112,506;2467,0;MTA3;N;1
202510;Abruzzo;200463,191;2544,0;MTA3;N/A;1
202510;Abruzzo;1415960,712;3008,0;MTA3;N/A;1
202510;Abruzzo;135305,376;4500,0;MTA3;N/A;1
202510;Abruzzo;1309700,792;5000,0;MTA3;N/A;2
202510;Abruzzo;514633,716;5625,0;MTA3;N;1
202510;Abruzzo;28,061;1,7;BTA2;N/A;4
202510;Abruzzo;12965,225;1,7;BTIP;N;71
202510;Abruzzo;89,258;2,0;TD;N/A;7
202510;Abruzzo;84,585;2,3;BTA2;N;1
202510;Abruzzo;38,926;2,3;BTA2;N/A;1
202510;Abruzzo;5069,911;2,5;TD;N;120
202510;Abruzzo;3537,905;2,6;BTIP;N;6
202510;Abruzzo;0,0;2,6;BTIP;N/A;2
202510;Abruzzo;2235505,752;3,0;BTA2;N;22443
202510;Abruzzo;1533,489;3,4;BTIP;N;4
202510;Abruzzo;10404,991;3,5;BTIP;N/A;29
202510;Abruzzo;789,002;3,5;TD;N/A;11
202510;Abruzzo;4176,649;4,0;MTA1;N;2
202510;Abruzzo;1899,825;4,0;TD;N/A;16
202510;Abruzzo;1475,364;4,4;BTIP;N;3
202510;Abruzzo;931,273;4,7;BTIP;N;1
202510;Abruzzo;719,558;4,8;BTA3;N;3
202510;Abruzzo;2447,74;4,9;BTIP;N/A;5
202510;Abruzzo;91900,341;5,0;BTA3;N/A;377
202510;Abruzzo;2652,027;5,0;TD;N/A;18
202510;Abruzzo;853094,468;5,0;TD;Y;3299
202510;Abruzzo;32,377;5,1;BTA3;N;1
202510;Abruzzo;4511,004;5,6;BTIP;N;3
202510;Abruzzo;3494,423;5,8;BTIP;N/A;3
202510;Abruzzo;1335,556;5,9;BTA3;N/A;4
202510;Abruzzo;3,851;6,0;BTA2;N/A;1
202510;Abruzzo;248845,207;6,0;BTIP;N;287
202510;Abruzzo;65,427;6,0;N/A;N;1
202510;Abruzzo;1274794,33;6,0;TD;N;9144
202510;Abruzzo;1024,442;6,1;BTIP;N;1
202510;Abruzzo;6450,227;6,9;BTA4;N;23
202510;Abruzzo;621,418;0,4;BTIP;N/A;15
202510;Abruzzo;384,359;7,4;BTA4;N;2
202510;Abruzzo;438,529;7,5;BTA4;N;2
202510;Abruzzo;3744,617;7,8;BTA4;N;13
202510;Abruzzo;167116,659;8,0;BTA4;N/A;288
202510;Abruzzo;1567,168;8,0;TD;N/A;3
202510;Abruzzo;1194,139;8,4;BTIP;N/A;2
202510;Abruzzo;1605,969;8,8;BTA4;N;4
202510;Abruzzo;320,932;8,8;TD;Y;2
202510;Abruzzo;1260,779;8,9;BTA4;N;3
202510;Abruzzo;1235,726;9,5;BTIP;N/A;2
202510;Abruzzo;5182527,436;10,0;BTA4;N;10113
202510;Abruzzo;10480,748;10,0;TD;N/A;21
202510;Abruzzo;0,0;0,3;BTA1;N;1
202510;Abruzzo;448,517;10,5;BTIP;N/A;1
202510;Abruzzo;8038,932;11,0;BTA5;N/A;22
202510;Abruzzo;44589,06;11,0;BTIP;N;35
202510;Abruzzo;26386,306;11,0;BTIP;N/A;30
202510;Abruzzo;2023,905;11,8;BTA5;N/A;1
202510;Abruzzo;17640,437;12,0;BTIP;N/A;12
202510;Abruzzo;5,947;12,5;BTA5;N/A;2
202510;Abruzzo;5435,513;13,5;BTIP;N/A;4
202510;Abruzzo;1,681;13,8;BTA5;N/A;1
202510;Abruzzo;1585,881;13,9;BTIP;N/A;1
202510;Abruzzo;270833,599;15,0;BTIP;N;133
202510;Abruzzo;5068,758;15,1;BTIP;N;2
202510;Abruzzo;7195,41;16,0;BTIP;N/A;4
202510;Abruzzo;1179634,341;17,0;BTA6;N;1602
202510;Abruzzo;57349,787;18,0;BTIP;N/A;33
202510;Abruzzo;0,0;0,9;BTA1;N/A;1
202510;Abruzzo;3044,116;18,1;BTIP;N;1
202510;Abruzzo;29,17;18,7;TD;Y;1
202510;Abruzzo;37629,859;19,0;BTA6;N;28
202510;Abruzzo;1971,03;19,9;BTIP;N/A;1
202510;Abruzzo;29398,13;20,0;MTA1;N;26
202510;Abruzzo;87869,338;20,0;TD;N;86
202510;Abruzzo;2662,113;20,0;TD;N/A;5
202510;Abruzzo;7116,722;20,5;BTIP;N;1
202510;Abruzzo;2603,994;20,7;BTIP;N;1
202510;Abruzzo;4605,715;20,9;BTIP;N;1
202510;Abruzzo;925,514;21,6;BTIP;N;1
202510;Abruzzo;12301,165;0,5;BTIP;N;162
202510;Abruzzo;1784,628;21,8;BTA6;N/A;1
202510;Abruzzo;31679,414;22,0;BTIP;N/A;13
202510;Abruzzo;77,18;23,0;TD;N;1
202510;Abruzzo;581,946;23,1;BTIP;N/A;1
202510;Abruzzo;3549,755;23,5;BTIP;N/A;1
202510;Abruzzo;17710,837;24,0;BTIP;N/A;8
202510;Abruzzo;1849098,211;25,0;BTA6;N/A;917
202510;Abruzzo;22449,036;27,0;BTIP;N/A;8
202510;Abruzzo;1967,356;28,5;BTA6;N;1
202510;Abruzzo;2456,403;28,8;BTA6;N/A;1
202510;Abruzzo;116,066;30,0;TD;N/A;3
202510;Abruzzo;2949,953;30,6;BTIP;N/A;1
202510;Abruzzo;664,152;31,9;BTA6;N/A;1
202510;Abruzzo;86603,015;32,0;BTA6;N;36
202510;Abruzzo;11709,006;32,0;BTIP;N;3
202510;Abruzzo;8048,012;33,6;BTIP;N;2
202510;Abruzzo;3441,174;34,1;BTIP;N/A;1
202510;Abruzzo;2350,315;34,4;BTIP;N/A;1
202510;Abruzzo;40909,321;35,0;BTIP;N;8
202510;Abruzzo;4478,678;36,1;BTIP;N/A;1
202510;Abruzzo;5076,588;37,4;BTIP;N/A;1
202510;Abruzzo;66744,625;40,0;BTIP;N;12
202510;Abruzzo;2789,732;41,3;BTIP;N;1
202510;Abruzzo;84518,689;43,0;BTA6;N;21
202510;Abruzzo;8483,349;45,6;BTIP;N/A;3
202510;Abruzzo;934,038;46,2;BTA6;N/A;1
202510;Abruzzo;81524,743;47,0;BTA6;N/A;13
202510;Abruzzo;95798,739;48,0;BTA6;N;18
202510;Abruzzo;6015,269;50,0;TD;N;4
202510;Abruzzo;76133,367;52,0;BTA6;N/A;13
202510;Abruzzo;5395,071;53,0;BTIP;N/A;1
202510;Abruzzo;3608,082;55,0;BTIP;N;1
202510;Abruzzo;968,309;56,5;BTA6;N;1
202510;Abruzzo;1173112,673;60,0;BTA6;N;210
202510;Abruzzo;1202391,071;60,0;BTA6;N/A;237
202510;Abruzzo;1600,368;60,0;BTIP;N/A;1
202510;Abruzzo;44813,234;60,0;MTA1;N;6
202510;Abruzzo;1483,716;61,0;MTA1;N;1
202510;Abruzzo;79850,234;63,0;BTA6;N/A;15
202510;Abruzzo;10562,174;67,5;BTA6;N;5
202510;Abruzzo;6881,182;68,0;MTA1;N/A;1
202510;Abruzzo;50880,196;68,8;BTA6;N;4
202510;Abruzzo;279,345;73,6;BTA6;N;1
202510;Abruzzo;32823,203;74,0;BTA6;N;5
202510;Abruzzo;64023,405;75,0;BTIP;N;3
202510;Abruzzo;70091,371;78,0;BTA6;N/A;7
202510;Abruzzo;18097,431;79,0;BTIP;N;2
202510;Abruzzo;19060,25;79,3;BTA6;N;1
202510;Abruzzo;9797,068;80,0;BTIP;N/A;1
202510;Abruzzo;81826,976;81,0;BTA6;N/A;5
202510;Abruzzo;102652,634;82,0;BTA6;N;12
202510;Abruzzo;36218,188;82,5;BTA6;N/A;2
202510;Abruzzo;95603,503;83,0;BTA6;N/A;10
